city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,clyde river,70.47,-68.59,3.2,59,75,13.87,CA,1604513151
133,port-gentil,-0.72,8.78,77.0,83,20,3.36,GA,1604513151
134,lebu,-37.62,-73.65,55.49,62,9,11.14,CL,1604513151
135,rocha,-34.48,-54.33,66.76,54,18,12.15,UY,1604513151
136,klaksvik,62.23,-6.59,50.0,100,98,24.16,FO,1604513151
137,boysun,38.21,67.2,47.08,42,0,2.28,UZ,1604513151
138,thompson,55.74,-97.86,24.8,100,90,2.24,CA,1604513152
139,taoudenni,22.68,-3.98,82.44,15,0,4.45,ML,1604513152
140,thunder bay,48.4,-89.32,50.0,66,20,3.85,CA,1604512875
141,ashqelon,31.67,34.57,71.6,68,40,10.29,IL,1604513152
142,acarau,-2.89,-40.12,85.66,63,85,15.48,BR,1604513152
143,sao joao da barra,-21.64,-41.05,78.8,57,75,9.17,BR,1604513152
144,nicosia,35.17,33.37,62.01,93,75,5.82,CY,1604513084
145,huron,41.15,-82.55,66.99,37,1,17.22,US,1604513152
146,llano de piedra,7.67,-80.57,82.2,72,94,11.92,PA,1604513152
147,codrington,-38.27,141.97,49.05,73,43,13.06,AU,1604513152
148,sindor,62.86,51.89,39.27,93,85,8.59,RU,1604513152
149,pampierstad,-27.78,24.69,70.92,56,77,15.9,ZA,1604513152
150,salamiyah,35.01,37.05,62.55,69,100,12.06,SY,1604513152
151,sao filipe,14.9,-24.5,77.61,79,72,6.6,CV,1604513153
152,rayachoti,14.05,78.75,74.08,86,70,2.64,IN,1604513153
153,santa maria,-29.68,-53.81,73.4,33,20,16.11,BR,1604512867
154,saint anthony,45.02,-93.22,66.0,38,1,8.05,US,1604513153
155,prince rupert,54.32,-130.32,44.6,86,75,5.82,CA,1604513153
156,iqaluit,63.75,-68.51,10.4,72,75,11.41,CA,1604513153
157,olafsvik,64.89,-23.71,44.4,70,97,38.54,IS,1604513153
158,nizwa,22.93,57.53,65.46,26,0,2.91,OM,1604513153
159,tower,51.92,-8.6,46.0,75,40,4.7,IE,1604513153
160,tessalit,20.2,1.01,82.0,16,56,6.64,ML,1604513153
161,sadri,25.18,73.43,70.56,27,0,5.57,IN,1604513153
162,rio gallegos,-51.62,-69.22,44.6,93,90,8.05,AR,1604513153
163,shadegan,30.65,48.66,73.4,49,0,2.62,IR,1604513153
164,anapolis,-16.33,-48.95,78.8,50,75,4.7,BR,1604513154
165,teguldet,57.31,88.17,28.22,97,100,17.83,RU,1604513154
166,aksarka,66.56,67.8,28.6,99,100,4.07,RU,1604513154
167,axim,4.87,-2.24,80.56,79,94,5.53,GH,1604513154
168,stephanskirchen,47.86,12.15,48.0,90,100,1.99,DE,1604513154
169,norman wells,65.28,-126.83,-5.8,83,75,2.24,CA,1604513154
170,salalah,17.02,54.09,77.0,65,0,5.82,OM,1604513154
171,seybaplaya,19.65,-90.67,78.8,83,90,11.41,MX,1604513154
172,kenai,60.55,-151.26,-0.4,77,1,8.66,US,1604513154
173,skjervoy,70.03,20.97,42.8,60,20,12.75,NO,1604513154
174,havre-saint-pierre,50.23,-63.6,28.4,63,1,17.22,CA,1604513154
175,ostrovnoy,68.05,39.51,36.05,84,44,22.48,RU,1604513154
176,ketchikan,55.34,-131.65,41.0,80,20,4.7,US,1604513154
177,vardo,70.37,31.11,37.4,77,75,35.57,NO,1604513155
178,veriora,58.01,27.36,45.0,93,85,12.75,EE,1604513155
179,kuznechikha,57.22,42.33,44.02,89,100,5.97,RU,1604513155
180,mponela,-13.53,33.74,72.32,45,5,5.06,MW,1604513155
181,antananarivo,-18.91,47.54,66.2,68,20,6.93,MG,1604513155
182,lazaro cardenas,17.96,-102.2,87.96,46,89,0.34,MX,1604513155
183,nanortalik,60.14,-45.24,33.06,89,100,4.65,GL,1604513155
184,kingston,18.0,-76.79,78.8,88,75,20.8,JM,1604513082
185,villa union,23.2,-106.23,82.0,57,75,3.78,MX,1604513155
186,sioux lookout,50.1,-91.92,46.4,70,20,6.93,CA,1604513014
187,hofn,64.25,-15.21,51.8,50,20,19.46,IS,1604513155
188,gravdal,68.12,13.5,42.8,81,75,8.05,NO,1604513155
189,kushmurun,52.45,64.63,35.8,85,0,11.97,KZ,1604513156
190,grindavik,63.84,-22.43,44.6,81,75,27.51,IS,1604513156
191,torbay,47.67,-52.73,30.0,68,75,26.4,CA,1604512998
192,margate,51.38,1.39,51.01,66,0,7.31,GB,1604513156
193,marawi,8.0,124.29,75.99,89,99,5.01,PH,1604513156
194,atarra,25.28,80.57,67.84,26,0,4.29,IN,1604513156
195,victoria,22.29,114.16,72.0,77,2,4.0,HK,1604513156
196,bathsheba,13.22,-59.52,87.8,62,40,19.46,BB,1604513156
197,chipinge,-20.19,32.62,65.28,95,100,4.16,ZW,1604513156
198,masvingo,-20.06,30.83,70.72,67,48,6.85,ZW,1604513156
199,ventersburg,-28.09,27.14,69.55,51,31,10.85,ZA,1604513156
200,rawson,-43.3,-65.1,75.63,32,38,24.76,AR,1604513157
201,sitka,57.05,-135.33,35.6,93,90,5.82,US,1604513043
202,shahrud,36.42,54.98,57.13,36,1,2.53,IR,1604513157
203,salantai,56.07,21.57,51.8,66,75,11.41,LT,1604513157
204,eyl,7.98,49.82,78.6,72,62,15.64,SO,1604513157
205,roald,62.58,6.13,46.4,81,75,24.16,NO,1604513157
206,los llanos de aridane,28.66,-17.92,64.4,93,75,9.17,ES,1604513157
207,burns lake,54.23,-125.75,30.2,92,100,1.12,CA,1604513157
208,inirida,3.87,-67.92,75.27,92,100,5.95,CO,1604513157
209,sabha,27.04,14.43,69.69,32,59,8.68,LY,1604513157
210,frontera,26.93,-101.45,77.0,52,5,3.98,MX,1604513157
211,porto novo,6.5,2.6,84.2,79,20,10.29,BJ,1604513158
212,itaguai,-22.85,-43.78,75.2,69,75,11.41,BR,1604513158
213,mahebourg,-20.41,57.7,73.4,73,75,10.29,MU,1604513158
214,pisco,-13.7,-76.22,66.2,77,75,11.41,PE,1604513158
215,boca do acre,-8.75,-67.4,98.53,34,56,4.29,BR,1604513158
216,kavaratti,10.57,72.64,83.07,74,76,6.69,IN,1604513159
217,plettenberg bay,-34.05,23.37,66.24,80,100,12.91,ZA,1604513159
218,kekri,25.97,75.15,67.17,25,0,4.16,IN,1604513159
219,sakakah,29.97,40.21,71.6,43,0,11.41,SA,1604513159
220,hambantota,6.12,81.12,79.79,83,74,5.26,LK,1604513159
221,opuwo,-18.06,13.84,76.57,19,0,13.02,NA,1604513159
222,rudnichnyy,59.62,52.47,35.78,97,100,6.17,RU,1604513159
223,bandarbeyla,9.49,50.81,76.68,74,1,16.37,SO,1604513159
224,santa rosalia,27.32,-112.28,85.44,35,0,6.51,MX,1604513159
225,san cristobal,7.77,-72.22,89.6,49,40,10.29,VE,1604513055
226,avila,40.58,-5.0,43.0,95,99,3.0,ES,1604513160
227,kuryk,43.2,51.65,67.05,24,100,20.76,KZ,1604513160
228,davidson,36.15,-86.78,69.01,34,1,6.93,US,1604513130
229,geraldton,-28.77,114.6,59.0,93,0,6.93,AU,1604513161
230,naroda,23.08,72.67,69.8,64,0,5.77,IN,1604513161
231,abu dhabi,24.47,54.37,82.4,54,0,5.82,AE,1604513150
232,belyy yar,53.6,91.39,30.2,58,40,15.66,RU,1604512871
233,ust-tsilma,65.44,52.15,38.14,84,93,6.8,RU,1604513162
234,mwene-ditu,-7.0,23.45,70.54,91,83,3.33,CD,1604513163
235,antalaha,-14.9,50.28,71.28,79,85,7.74,MG,1604513163
236,faya,18.39,42.45,64.4,82,20,6.93,SA,1604513163
237,cedar lake,41.36,-87.44,69.01,42,1,16.11,US,1604513164
238,krasnoselkup,65.7,82.47,7.45,95,82,9.93,RU,1604513164
239,sorland,67.67,12.69,42.8,87,75,23.04,NO,1604513164
240,mattru,7.62,-11.83,77.79,92,65,2.75,SL,1604513164
241,lavrentiya,65.58,-171.0,22.3,91,99,6.8,RU,1604513164
242,touros,-5.2,-35.46,87.8,55,40,13.87,BR,1604513164
243,sao paulo de olivenca,-3.38,-68.87,97.45,40,83,3.22,BR,1604512978
244,vila velha,-20.33,-40.29,73.4,78,75,5.82,BR,1604513165
245,celestun,20.87,-90.4,78.37,79,100,17.52,MX,1604513165
246,alanya,36.54,32.0,59.0,67,20,6.93,TR,1604513165
247,puerto cabezas,14.04,-83.39,79.9,87,100,14.85,NI,1604513165
248,hannibal,39.71,-91.36,72.0,24,1,11.41,US,1604513090
249,san luis,-33.3,-66.34,87.62,18,84,21.36,AR,1604512872
250,tingo maria,-9.29,-76.01,87.8,52,20,4.7,PE,1604513165
251,saint-pierre,-21.34,55.48,73.4,60,75,12.75,RE,1604513165
252,epitalion,37.63,21.5,64.4,93,20,2.21,GR,1604513165
253,masuguru,-11.37,38.42,84.92,44,6,10.87,TZ,1604513165
254,lompoc,34.64,-120.46,60.8,76,1,7.7,US,1604513166
255,pacific grove,36.62,-121.92,64.0,87,40,4.7,US,1604512876
256,manzanillo,20.34,-77.12,76.44,89,100,4.07,CU,1604513166
257,ihosy,-22.4,46.12,71.76,68,62,8.12,MG,1604513166
258,energeticheskiy,43.43,77.02,32.0,66,40,4.47,KZ,1604513166
259,ormara,25.21,64.64,77.31,78,0,16.69,PK,1604513166
260,grand gaube,-20.01,57.66,73.0,70,2,5.99,MU,1604513166
261,alindao,5.03,21.21,74.07,88,89,3.27,CF,1604513166
262,goksun,38.02,36.5,59.0,77,75,14.99,TR,1604513166
263,ovalle,-30.6,-71.2,73.9,41,96,12.24,CL,1604513166
264,san patricio,28.02,-97.52,81.0,47,40,8.05,US,1604513166
265,sant feliu de guixols,41.78,3.03,55.99,55,44,11.83,ES,1604513121
266,colares,38.8,-9.45,55.99,62,20,11.41,PT,1604513167
267,druzhba,52.04,33.95,44.56,86,0,3.94,UA,1604513167
268,nome,64.5,-165.41,8.6,71,1,3.36,US,1604513167
269,greensboro,36.07,-79.79,68.0,34,20,5.82,US,1604512975
270,canutama,-6.53,-64.38,95.14,43,73,1.81,BR,1604513167
271,izberbash,42.57,47.86,55.4,71,75,6.71,RU,1604513167
272,aksu,41.12,80.26,39.67,59,17,0.43,CN,1604513167
273,atar,20.52,-13.05,93.02,11,1,7.76,MR,1604513167
274,kamuli,0.95,33.12,67.77,91,43,3.0,UG,1604513168
275,kaduqli,11.02,29.72,84.43,32,29,5.75,SD,1604513168
276,necochea,-38.55,-58.74,70.99,50,79,22.41,AR,1604512875
277,dharangaon,21.02,75.27,75.81,37,0,5.99,IN,1604513168
278,inuvik,68.35,-133.72,5.0,84,51,3.36,CA,1604512935
279,varnavino,57.4,45.09,41.04,95,95,5.66,RU,1604513168
280,miramar,25.99,-80.23,82.4,61,90,20.8,US,1604513168
281,skelleftea,64.75,20.95,41.0,86,0,8.05,SE,1604513168
282,amapa,1.0,-52.0,93.49,45,93,4.99,BR,1604513168
283,tupaciguara,-18.59,-48.7,84.2,20,40,17.22,BR,1604513169
284,rogovatoye,51.23,38.38,46.99,91,12,2.26,RU,1604513169
285,bushenyi,-0.59,30.21,61.86,88,66,1.77,UG,1604513169
286,guerrero negro,27.98,-114.06,80.49,39,0,8.88,MX,1604513135
287,norfolk,42.17,-71.25,55.0,40,1,8.05,US,1604513003
